SampleID,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end,ID.plate
13s10xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,13s10xA hi6a
1322v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,1322v1xA hi6a
13s103xA,5/25/18,5/30/18,5/30/18,6/4/18,6/5/18,6/7/18,13s103xA hi6a
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi6a
4228v1xB,5/27/18,5/31/18,5/30/18,6/4/18,6/6/18,6/8/18,4228v1xB hi6b
1322v102xA,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/7/18,1322v102xA hi6b
blank,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,blank hi6b
42s102xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s102xA hi6b
4228v102xA,5/27/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v102xA hi6b
42s10xA,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/7/18,42s10xA hi6b
42s102xB,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s102xB hi6b
4242v1xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xA hi6b
42s103xA,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s103xA hi6b
1328v1xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xA hi6b
4228v1xA,5/27/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v1xA hi6b
42s10xB,5/25/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,42s10xB hi6b
4228v10xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4228v10xA hi6b
4222v10xA,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v10xA hi6b
42s10xC,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s10xC hi6b
4222v103xB,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xB hi6b
13s102xA,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s102xA hi6b
13s10xB,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xB hi6b
1328v103xCb,5/27/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v103xCb hi6b
13s102xB,5/25/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,13s102xB hi6b
13s10xA,5/25/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xA hi6b
1322v1xA,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xA hi6b
13s103xA,5/28/18,5/31/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xA hi6b
blank,5/25/18,5/31/18,5/30/18,6/1/18,6/5/18,6/8/18,blank hi6b
